id,seller,offer,form,price_or_contract,evidence_type,source_url,access_date,independence,proves,does_not_prove
S01,DSE (thedataexperts.us),AI Security X-Ray single LLM system ~2 weeks,audit/report,$12K-$18K fixed fee,published pricing page + hasOfferCatalog,https://www.thedataexperts.us/ai-security-assessment-cost.html,2026-09-18,seller-primary,service sold at fixed fee; scope and duration,that any buyer paid (no named client)
S02,DSE,AI Red Team Sprint app+RAG+agents ~4 weeks + 30-day retest,engagement/report,$35K-$55K fixed fee,published pricing page,https://www.thedataexperts.us/ai-security-assessment-cost.html,2026-09-18,seller-primary,service sold at fixed fee; scope and duration,that any buyer paid (no named client)
S03,DSE,AI Security Co-Pilot retainer + vCISO for AI,subscription/from $8.5K-mo Co-Pilot; from $6K-mo vCISO,published pricing page,https://www.thedataexperts.us/ai-security-assessment-cost.html,2026-09-18,seller-primary,retainer model sold; price floors,renewal or client count
S04,Repello.ai,Red Team as a Service per engagement (vendor market report),engagement/report,$16K-$100K typical range,vendor pricing report 2026,https://repello.ai/blog/ai-red-teaming-vendor-pricing,2026-09-18,vendor-secondary,market price band for engagements,Repello's own price (opaque)
S05,Confident AI,LLM evals + observability platform (red team enterprise custom),subscription,$200-mo Starter; $2000-mo Team,published tiers via 2026 comparison,https://www.confident-ai.com/knowledge-base/compare/best-ai-red-teaming-tools-2026,2026-09-18,vendor-primary,subscription tiers sold; red team = enterprise custom,client count or renewals
S06,AI Compliance Advisor,24h Annex IV gap review: matrix + 5 fixes + 30-day plan + 30-min call,report,EUR 249 fixed + full refund if not a fit,published sales page + offers.price=249 EUR,https://aicomplianceadvisor.eu/,2026-09-18,seller-primary,fixed-scope offer sold at fixed price; 24h delivery,conversion rate or client count
S07,DPO Europe,AI Act compliance packages: inventory + classification + gap + 90-day plan,service/report,"EUR 9900 / 14900 / 24900 / 39900; add-ons EUR 1200-system + EUR 2500 multi-jurisdiction",published package page + money-back guarantee,https://data-privacy-office.eu/services/ai-act-compliance-gap-assessment/,2026-09-18,seller-primary,tiered packages sold; deliverables and timelines,that any buyer paid (no named client)
S08,European Compliance Suite,EU AI Act product assessment (2 working days) + cross-framework + authorised rep,report/subscription,EUR 1250 single-regime; EUR 4950 cross-framework; EUR 2400-yr rep,published pricing page + refund guarantee,https://europeancompliancesuite.com/pricing-packages/,2026-09-18,seller-primary,fixed-scope legal assessments sold; delivery time,client count or case outcomes
S09,RunAIAudit,Self-service multi-framework AI audit (AI Act/NYC LL144/Colorado),subscription,$89-$299-mo,published pricing page,https://www.runaiaudit.com/blog/ai-audit-cost-comparison.html,2026-09-18,seller-primary,self-service audit sold from $89; framework coverage,client count or renewals
S10,RunAIAudit market reference,AI audit market bands: law firms / enterprise / boutique,market,"law $5K-$50K; enterprise $30K-$100K-yr; boutique $3K-$15K",vendor market reference (secondary),https://www.runaiaudit.com/blog/ai-audit-cost-comparison.html,2026-09-18,vendor-secondary,order-of-magnitude market bands,any single verified transaction
S11,LXT.ai,Annotation outsourcing buyer guide 2026: commodity to MD-expert generation,service/hour,"$10-$25 commodity; $25-$60 linguistic; $60-$200+ expert; MD $130-$300",buyer guide citing public rate cards,https://www.lxt.ai/blog/data-annotation-outsourcing/,2026-09-18,vendor-secondary (aggregated primaries),hourly bands from disclosed rate cards,any single verified transaction
S12,HabileData,Annotation unit-rate reference 2026,unit,"box $0.03-$0.12; text $0.02-$0.30; RLHF $0.50-$8-comparison",market reference (secondary),https://www.habiledata.com/blog/data-annotation-cost/,2026-09-18,secondary,planning unit-rate bands,any single verified transaction
S13,GigaBPO,Accurate annotation $4-$8-hr no setup fees,service/hour,$4-$8-hr published,published sales page,https://gigabpo.com/how-much-does-data-labeling-cost/,2026-09-18,seller-primary,commodity annotation sold hourly,quality or client proof
