id,seller,offer,form,price_or_contract,evidence_type,source_url,access_date,independence,proves,does_not_prove
S58,GoodFirms survey 300+ firms,Fixed-price web dev global survey,survey,$1K-$150K+ fixed; 63pct quote $1K-$15K; MVP $1K-$3K; retainer $500-$3K-mo,survey 300+ firms 31 countries Sep 2026,https://www.goodfirms.co/resources/website-construction-cost-survey,2026-09-19,secondary survey,global web price concentration + geo rate split,any single verified transaction
S59,Clutch-DesignRush,Agency tier price ladder,fact,avg agency project ~$66.5K; tiers $2K-$300K+ (freelance to large),marketplace data 79K profiles,https://pixelean.com/what-to-expect-from-web-design-agency-pricing-in-2026/,2026-09-19,secondary x2,agency tier ladder,our entry wedge (crowded)
S60,App agencies,Mobile app custom builds,bands,MVP $25K+; mid $60K-$150K; enterprise $500K+; India $15-$60 vs US $150-$250-hr,agency guides x2,https://deftsoft.com/how-much-does-it-cost-to-build-a-mobile-app-in-2026/,2026-09-19,vendor-secondary,custom app bands + arbitrage,any single verified transaction
S61,Clutch mobile pricing,Avg app project + modal rate,fact,avg $90780; most $10K-$50K; modal $25-$49-hr,marketplace data Sep 2026,https://clutch.co/directory/mobile-application-developers/pricing,2026-09-19,secondary,verified project concentration band,individual proof
S62,Appbuilder24,No-code-AI vs freelancer vs agency,fact,no-code $15-$99-mo; freelancer $5K-$50K; agency $25K-$250K+,published comparison,https://appbuilder24.com/blog/how-much-does-it-cost-to-build-a-mobile-app-2026,2026-09-19,secondary,floor collapse + surviving freelancer band,our entry wedge
S63,925Studios,UX agency engagements,bands,sprint from $5K; project $10K-$80K+; retainer $5K-$20K-mo; $100-$300-hr,agency pricing guide,https://www.925studios.co/blog/how-much-does-a-ux-agency-cost,2026-09-19,vendor-secondary,UX agency bands,any single verified transaction
S64,Taqwah agency,SaaS product design tiers,bands,MVP $6K-$35K; full $20K-$80K; audit $2K-$5K; retainer $3K-$25K-mo,agency guide,https://taqwah.agency/blog/saas-ui-ux-design-cost,2026-09-19,vendor-secondary,design tiers incl fixed audit wedge,any single verified transaction
S65,WhatShouldICharge,UI-UX freelance rates survey,survey,$75-$195-hr median $120; offshore $25-$60; sprints $5K-$15K,rate survey Aug 2026,https://whatshouldicharge.io/ui-ux-designer,2026-09-19,secondary,freelance design ladder,individual proof
S66,Vidico-createandelate,Video per-minute + project bands,bands,corporate $4.5K-$20K; explainer $3K-$15K-min; $1K-$20K-min,guides x2,https://www.createandelate.com/blog/how-much-does-video-production-cost/,2026-09-19,secondary x2,video unit pricing,remote-only feasibility (shoot needs crew)
S67,Clutch video,Avg video project,fact,avg $42280.92; $100-$149-hr modal,marketplace data 2026,https://awakenedfilms.com/video-production-cost-pricing-guide/,2026-09-19,secondary,verified avg ticket,individual proof
S68,Sovran benchmarks,UGC-AI ad production floor,fact,UGC avg $198 (-44pct YoY); AI ads under $5; agency $100-$500-ad,benchmark 20 sources,https://sovran.ai/benchmarks/video-ad-production-cost,2026-09-19,secondary,performance-creative floor collapse,quality parity (stated tradeoff)
S69,Ghostwriting market,LinkedIn ghostwriter tiers,bands,$500-$15K-mo; $50-$500-post; sweet spot $2K-$3.5K,3 agreeing refs,https://www.mylance.co/blog/how-much-does-a-linkedin-ghostwriter-cost,2026-09-19,secondary x3,retainer tiers,renewals proof
S70,Windmill Growth,Ghostwriting market size-growth,fact,3x since 2024; 200+ agencies; avg $1.5K-$3K-mo,market report,https://windmillgrowth.com/blogseo/state-of-linkedin-ghostwriting-2026,2026-09-19,vendor-secondary,demand growth fact,our entry wedge (AI pressure)
S71,Grant guides,Freelance grant writing rates,bands,$50-$150-hr; federal flat $3K-$15K; LOI $400-$1.2K,3 agreeing refs,https://grantsights.com/blog/how-to-hire-a-grant-writer,2026-09-19,secondary x3,fixed-fee proposal bands,win-rate proof
S72,i-grants,EU-consortium + ethics rule,fact,EU proposal EUR 7.5K-$25K+; retainer $1.5K-$10K-mo; pct-fees UNETHICAL,published guide,https://i-grants.com/blogs/how-much-does-it-cost-to-hire-a-grant-writer-in-2026,2026-09-19,secondary,premium band + binding ethics rule,individual proof
S73,Waveup,Financial models from $3K seller-primary,project,from $3K; 3-statement $3K-$8K; 884 projects; 2-4 weeks,published pricing + volume,https://waveup.com/financial-modeling-services/,2026-09-19,seller-primary,productized modeling sold at volume,stated volume unaudited
S74,Upwork modeling,Freelance modeling bands,fact,$25-$65-hr; cash-flow $500-$1.5K; M and A $5K-$10K+,marketplace page,https://www.upwork.com/hire/financial-modelers/,2026-09-19,secondary,freelance modeling ladder,Algeria eligibility
S75,Qubit Capital,Consultant modeling bands,bands,$120-$600-hr; small from $7.5K; complex $100K+,advisory guide,https://qubit.capital/blog/hire-financial-modeling-consultant,2026-09-19,secondary,top-end modeling bands,any single verified transaction
S76,Lets-Viz,Tableau consultant rate card,rate-card,$125-$200-hr; dashboards $8K-$25K; retainer $2K-$5K-mo,vendor rate card,https://lets-viz.com/blogs/tableau-consultant-cost-2026-hourly-project-retainer-rates,2026-09-19,vendor-primary,BI consulting ladder,client count
S77,Perceptive Analytics,Power BI DFW pricing,rate-card,$150-$350-hr; project $15K-$75K; retainer $2K-$8K-mo; single $4K-$15K,vendor rate card,https://www.perceptive-analytics.com/how-much-does-power-bi-consulting-cost-in-2026-in-dallas-fort-worth/,2026-09-19,vendor-primary,fixed dashboard wedge $4K-$15K,client count
S78,PeoplePerHour,BI freelance floor,fact,dashboards EUR 10-435 fixed; $9-$115-hr live offers,marketplace live listings,https://www.peopleperhour.com/hire-freelancers/technology-programming/data-science-analysis/power-bi-consultants,2026-09-19,marketplace-primary,floor prices (race to bottom visible),sustainability (anti-signal)
S79,BetOnAI 54 invoices,Automation rate card from invoices,rate-card,$95-$235-hr; projects $1.8K-$26K; retainers $1.2K-$12K-mo; AI-agent add-on,54 real freelance invoices Jun 2026,https://betonai.net/ai-automation-rate-card-2026-what-to-charge-for-n8n-make-and-zapier-builds-real-rates-from-54-operators/,2026-09-19,primary-invoices,STRONGEST round evidence: invoiced automation bands,invoice audit (self-reported pool)
S80,Upwork Zapier,Zapier dev bands,fact,$40-$90-hr; projects $300-$3K; 8435 reviews,marketplace page,https://www.upwork.com/hire/zapier-developers/,2026-09-19,secondary,entry automation bands + review volume,Algeria eligibility
S81,Fiverr automation,Integration floor gigs,fact,from $10-$125 fixed; 300+ review sellers,marketplace live listings,https://www.fiverr.com/gigs/zapier-api,2026-09-19,marketplace-primary,floor gigs with review proof,margin (anti-signal)
S82,Maven-skillscouter,Cohort course pricing,fact,$500-$3.5K-seat; workshops ~$500; 81pct reimbursed; 10pct fee,platform + review,https://skillscouter.com/maven-review/,2026-09-19,secondary,cohort unit economics (B2B pays),our audience (need distribution)
S83,Ruzuku B2B training,Corporate training benchmarks,fact,$1.5K-$3.5K-day; cohort $7.5K-$55K; $10K procurement threshold tactic,benchmark guide,https://www.ruzuku.com/learn/articles/how-to-price-training-courses,2026-09-19,secondary,training bands + $9.5K pilot tactic,our entry wedge (credibility market)
