id,seller,offer,form,price_or_contract,evidence_type,source_url,access_date,independence,proves,does_not_prove
S88,Bench (vendor pricing via SMBGuide),Monthly bookkeeping Essential-Premium tiers,fact,$249-mo annual Essential; $349-mo monthly; Premium $399-$499-mo; AP-AR add-on from $100-mo,vendor pricing via review,https://www.smbguide.com/review/bench-accounting/,2026-09-19,vendor-primary,$249-$499-mo managed bookkeeping band + add-on ladder,our cost to serve or client acceptance
S89,Pilot (via Bench comparison page),Startup bookkeeping Starter-Core + tax packages,fact,Starter $349-mo; Core $499-$599-mo; tax from $2450-yr unprofitable / $5400-yr profitable (bookkeeping required),vendor comparison page,https://www.bench.co/blog/bookkeeping/pilot-vs-bench,2026-09-19,vendor-secondary,bookkeeping-plus-tax bundle $349-$599-mo + $2.4K-$5.4K-yr tax kicker,margin at DZ cost base
S90,ExpertHelp 2026 pricing guide,Consumer + freelancer tax prep bands,bands,1040 basic $175-$250; itemized $225-$325; Schedule C $300-$450; S-corp-1065 $400-$650; chains $200-$400,pricing guide,https://blog.experthelp.com/how-much-should-tax-preparation-really-cost-2026-pricing-guide/,2026-09-19,secondary,$150-$650 consumer-freelancer tax prep ladder,per-return time cost or PTIN eligibility
S91,Bench citing NATP survey,CPA tax prep averages + hourly bands,fact,Schedule C avg $192; Form 1120 avg $913; CPA hourly $150-$500; business returns up $85 YoY,survey via vendor blog,https://www.bench.co/blog/tax-tips/average-cost-tax-prep-cpa,2026-09-19,survey-via-vendor,CPA floor $150-hr + $192-$913 per-form averages + rising-fee trend,any single verified transaction
S92,Hurren and Hope fee guide,Tech contingency recruiting 15-30pct,fact,15-30pct first-year base; 90K engineer at 20pct = 18K fee; 180K VP at 25pct = 45K,agency guide,https://hurrenandhope.com/tech-recruitment-agency-fees/,2026-09-19,vendor-secondary,contingency fee math $18K-$45K per placement,fill rate or time-to-fill
S93,Prepzo + FirstHR comparison,Retained vs contingency vs container search,fact,contingency 15-25pct on hire only; retained 25-35pct staged ($48K on $160K); container = small upfront credited,market explainers x2,https://prepzo.ai/blog/contingency-vs-retained-search,2026-09-19,secondary x2,three-model ladder + retained premium for senior-confidential roles,our access to client-side mandates
S94,PPC Agency Guide pricing page,PPC management pct-of-spend + retainer bands,fact,10-20pct of ad spend standard; flat retainer $500-$5K-mo; SMB $1K-$5K spend pays $500-$1.5K fee,pricing guide,https://www.ppcagencyguide.com/ppc-agency-pricing/,2026-09-19,secondary,pct-of-money model 10-20pct + retainer floor,ROAS accountability in practice
S95,Emprise Digital published rates,PPC flat-to-pct threshold + hybrid models,fact,$1K-mo flat converting to 10pct above $10K spend; industry hybrid $500 base + 8-10pct; sub-$500-mo = automated-junior,published agency rates,https://emprisedigital.co/blog/ppc-management-pricing/,2026-09-19,vendor-primary,$10K spend procurement threshold + hybrid de-risking,our certified-buyer bench
S96,Stripe Atlas via Gupta guide,Delaware C-corp-LLC formation one-time,fact,$500 one-time: state filing + EIN + docs + year-1 registered agent ($100-yr after); 1-2 day formation,guide citing vendor,https://guptadeepak.com/startup-offers/guides/stripe-atlas,2026-09-19,secondary-vendor,$500 flat formation product open to non-US founders,legal-advice boundary (filing not counsel)
S97,Clerky via SparkLaunch comparison,Startup legal rigor ladder + micro-documents,fact,$427 setup + $299 post-inc setup = $726; $819 lifetime; SAFEs from $9; notes from $19,comparison citing vendor,https://sparklaun.ch/compare/clerky,2026-09-19,secondary-vendor,$427-$819 legal-rigor ladder + $9 micro-document floor,what remains defensible above templates
S98,PhotoFounder comparison 2026,Human vs AI virtual staging price gap,fact,BoxBrownie $24-img human 24-48h vs AI ~$1-img 30sec; 100 imgs-mo = $2400 vs $149 (16x gap),comparison review,https://www.photofounder.com/blog/boxbrownie-vs-virtual-staging-ai,2026-09-19,secondary,16x human-vs-AI staging gap + volume math,hero-shot quality parity
S99,Stager Go comparison 2026,AI staging unit economics per listing,fact,AI $0.05-$0.10-img; 3BR listing 8-10 imgs = $1-$2 vs BoxBrownie $240-$360; 24 listings-yr = $24-$48 vs $5.7K-$7.2K,vendor comparison,https://stagergo.com/pages/product/virtual-staging/virtual-staging-vs-boxbrownie,2026-09-19,vendor-secondary,listing-level economics collapse to ~$2 (templates reusable),client willingness to pay humans for QA
S100,OURS Global service page,Offshore RE photo editing from $0.50-img,fact,RE editing from $0.50-img 24h delivery; staging from $1; panorama $3; retouch from $10; 150+ team,published vendor rates,https://www.oursglobal.com/photo-editing/real-estate-photo-editing-services,2026-09-19,vendor-primary,offshore bench price $0.50-$10-img by complexity + 24h SLA,quality consistency at volume
