id,claim_summary_ar,source,url,as_of,status,independence_note,reverification_trigger
S01,أجل إعادة توطين عائدات التصدير: ≤120 يوماً من الشحن/إنجاز الخدمة، وأجل دفع أقصاه 180 يوماً لغير المقيم، والإيداع يوم الدفع,Alaraby (نقلاً عن الجريدة الرسمية/تعليمات بنك الجزائر),https://www.alaraby.co.uk/economy/الجزائر-تقلّص-فترة-إيداع-عوائد-التصدير-في-المصارف,2026-08-20,مُسند ثانوياً,صحافة ثانوية؛ يلزم مطابقة نص التعليمة,أي التزام E2؛ مراجعة سنوية للتنظيم
S02,الاحتياطي الرسمي 68.277 مليار دولار نهاية 2024 (>15 شهراً من الواردات) — التقرير السنوي لبنك الجزائر,Bank-of-Algeria 2024 annual report / horizons,https://www.bank-of-algeria.dz/stoodroa/2025/09/Rapport-2024-fr.pdf,2025-06,مسند أولي جزئياً,مصدر أولي (PDF) + مقال ثانوي,قبل أي حجة «أزمة سيولة»
S03,هبوط احتياطي العملات إلى 47.1 مليار دولار في أكتوبر 2025 مقابل 67.8 نهاية 2024 (تعريف العملات وحدها؛ ≈52 بالتعريف الواسع),Maghreb Emergent (CEIC/FMI) + le Moci,https://maghrebemergent.news/fr/reserves-de-change-un-recul-marque-depuis-le-debut-de-lannee/,2025-12-07,مُسند ثانوياً — التعريف غير موحّد,قاعدة بيانات تجارية مجمّعة، لا نشرة بنك الجزائر,التفريق بين «العملات» و«العملات+DTS» قبل أي مقارنة تاريخية
S04,توقعات صندوق النقد (Article IV 2025): عجوزان جارية -3% إلى -4% من الناتج حتى 2030 واحتياطي ≈18.6 مليار دولار في 2030؛ عجز جاري 10.5 مليار وعجز ميزان مدفوعات 7.5 مليار في النصف الأول 2025,Maghreb Emergent / le Moci (نقلاً عن FMI وبنك الجزائر),https://www.lemoci.com/fiche-pays/algerie/,2026-05-20,مُسند ثانوياً,صحافة تنقل صندوق النقد؛ ليست الوثيقة الأصلية,قبل تحويل «الاستعجال» إلى التزام
S05,تعرفة الكهرباء مطبّقة بقرار CREG D/22-15/CD المؤرخ 2015-12-29 وغير متغيرة حتى 2026؛ الأشطر 1.78–5.48 دج/ك‌و.س؛ تصريح وزير الطاقة بأن الأسعار المطبقة من الأضعف مقارنة بالدول المجاورة وأوروبا,algerie-electricite (بيان CREG) / africanews,https://algerie-electricite.com/tarifs,2026 (تحقّق معلن 2026),مُسند ثانوياً + تصريح رسمي منقول,موقع تجاري ينقل القرار؛ تصريح وزاري عبر وكالة,أي حساب «سنتات» للطاقة — يُستبدل بوثيقة تعرفة رسمية
S06,تعليمة بنك الجزائر 2026-08-10 للتمويل المسبق بالدينار للمصدرين: تشترط فاتورة «صالح للتصدير» وعقد/طلبية وفتح اعتماد مستندي ووثيقة نقل وتأمين تصدير، ودراسة الملف في ≤7 أيام، مع سداد الاستحقاق حتى لو لم يحصّل المصدر من مشترى أجني,El Bilad / Alaraby / Aljazairalyoum,https://www.elbilad.net/economique/بنك-الجزائر-يطلق-آلية-لتمويل-احتياجات-المصدرين-145307,2026-08-11/12,مُسند ثانوياً (متعدد),ثلاثة مقالات حول التعليمة نفسها: ليست مصادر مستقلة,سؤال المصرف المحدد عن الخدمات (بلا وثيقة شحن)
S07,قواعد الفوترة: البيع الداخلي بالدينار حصراً (تنظيم 07-01)؛ التصدير يُفوتر بعملة أجنبية؛ منذ 2021 يحتفظ المصدر غير المصدّر للمحروقات بـ100% من عائداته بالعملة؛ إعفاء دائم من IBS/IRG/TAP وإعفاء TVA للسلع المُصدَّرة — مع استثناءات تشمل الاتصالات وVoIP والفحم/المناجم,fatoura.app (يقتبس التنظيم) + MFDGI,https://www.mfdgi.gov.dz/fr/professionnels/avantages-investissement/avantages-par-activite/avantages-fiscaux-accordes-a-lexportation,2026-04-26 (مقال) / MFDGI (نص),النص الأولي للمسؤول الضريبي؛ تفسير المقال غير مؤكد,موقع الدولة مصدر أولي؛ الثاني ثانوي,مسار الخدمات: هل تُطبَّق الإعفاءات بلا وثيقة جمركة؟ (سؤال مختص)
S08,أسعار الصرف: رسمي ≈132.7 DZD/USD و≈151.9–155 DZD/EUR مقابل سوق موازٍ 237–240 DZD/USD و≈275–278 DZD/EUR (فارق ≈+78% على الدولار),exchangedz (السوق الموازي) / boursorama (الرسمي),https://www.exchangedz.com/,2026-08-20,مُسند ثانوياً — تقديرات سوق غير رسمي,لا يمكن ضمان استقلالية ناقل أسعار السوق الموازي,كل مقارنة تكلفة عمل/تكلفة مدخلات
S09,تحويلات المغتربين الجزائريين 1.868 مليار دولار سنة 2023 (مصدر: بنك دولي/KNOMAD عبر تقرير مؤسسة كنوماد)؛ تقديرات 1.7–2.5 مليار سنوياً؛ جالية 5–7 ملايين,Alaraby (نقلاً عن World Bank/KNOMAD),https://www.alaraby.co.uk/economy/تحويلات-الجزائريين-منقوصة-ما-السبب,2025-10-24,مُسند ثانوياً,صحافة تنقل قاعدة بيانات البنك الدولي,أي رهان على «آلة الجالية المالية»
S10,تحويلات المغاربة 122.02 مليار درهم (≈12.2–13.4 مليار دولار حسب سعر الصرف المستخدم) في 2025، +2.6% سنوياً؛ 39.98 مليار درهم (4.0 مليار $) في أول أربعة أشهر من 2026 (+9.8%),Morocco World News (مكتب الصرف),https://www.moroccoworldnews.com/2026-02-277165/moroccos-diaspora-remittances-reached-over-13-3-billion-in-2025/,2026-02-01,مُسند ثانوياً — تناقض تحويل الدرهم بين مقالين,الاختلاف في سعر الصرف لا في الواقعة؛ يجب تثبيت سعر واحد,أي مقارنة تحويلات قطرية
