id,claim_summary_ar,source,url,as_of,status,independence_note,reverification_trigger
S28,"AraSafe: ≈12,141 طلباً عربياً طبيعياً (فصحى+لهجات) و≈12K ضارّاً مُصنَّعاً، 9 أصناف، مفتوح — يدحض «لا معيار عربياً مفتوحاً بحجم كبير»","AraSafe — EMNLP 2025 Findings (Mubarak/Mohamed/Hawasly), DOI 10.18653/v1/2025.findings-emnlp.529",https://doi.org/10.18653/v1/2025.findings-emnlp.529,2025 (EMNLP Findings),مسند أولياً (ورقة محكّمة),لا علاقة بالمؤلفين ولا تمويل مشترك؛ لم تُشغَّل المجموعة محلياً,أي عرضٍ يقوم على ندرة المعايير العربية؛ أو إعلان AraSafe محور ثباتٍ داخل البند
S29,ASAS: 801 طلب مُنتقى بشرياً، 8 أصناف × 8 استراتيجيات هجوم، فصحى؛ أغلب النماذج تفشل في ≥50% من الطلبات غير الآمنة؛ ويرى أنّ الحكّام الآلية (GPT-4o) ضعيفة أمام البشر,ASAS — arXiv:2608.21985,https://arxiv.org/abs/2608.21985,2026-08-22,مسند أولياً (preprint),preprint بلا تحكيم أقران منشور؛ الانفتاح غير محسوم,التحقق من إطلاق البيانات/الكود؛ وأي قرارٍ يستعمل حكّاماً لغوياً في إشارة الانقلاب
S30,الـArabizi والنسخ الصوتي يرفعان عدم أمان GPT-4 من 2.50% إلى 12.12%، وClaude 3 Sonnet من 0.19% إلى 4.62%؛ وقسم التخفيف يعترف بأنّ التحويل الساذج يُنتج كلمات غير صحيحة (خلل التحويلة موثّق في المصدر الأولي),"Jailbreaking LLMs with Arabic Transliteration and Arabizi — EMNLP 2024 main, DOI 10.18653/v1/2024.emnlp-main.1034 (Al Ghanim et al.)",https://doi.org/10.18653/v1/2024.emnlp-main.1034,2024 (EMNLP main),مسند أولياً (ورقة محكّمة),لا علاقة بالمؤلفين؛ الأرقام منقولة لا مُعاد قياسها,أي ادّعاءٍ بـ«اكتشاف» الظاهرة؛ وأي مقارنةٍ بأرقامنا قبل تشغيل نموذج مأذون
S31,≈90% سلامة على الفصحى مقابل 22.9% على الـArabizi (Qwen 3B)؛ اتجاهات رفض AUC 0.909–0.956؛ والحدّ المعلَن «فجوة لهجية مطلوبة بشدة»,Scaling Arabic Safety Alignment by Regime Discovery (lacuna / Tiptree Systems),https://lacuna.tiptreesystems.com/,2026-09-11 (تاريخ الصفحة),مسند ثانوياً (صفحة مشروع),صفحة مشروع لا ورقة محكّمة؛ مبنية على AraSafe ⇒ ليست تأكيداً مستقلاً للحجم [S28],ظهور نسخة محكّمة؛ أو قياسٍ يفصل الفصحى عن الـArabizi داخل البند الواحد
S32,ArabicDialectSafety: 6 لهجات منها المغربية/المغاربية، 7 أصناف ضرر؛ MARBERTv2 ‏0.95 ثنائي و0.90 تفصيلي (Macro-F1)؛ مصرية 0.92 مقابل مغربية 0.69؛ «الإطلاق عند القبول»,ArabicDialectSafety — arXiv:2608.01291,https://arxiv.org/abs/2608.01291,2026-08-02,مسند أولياً (preprint) — التوافر غير محسوم,preprint؛ المجموعة غير متاحة بعد ⇒ لا تُعاد قياساتها,إطلاق المجموعة فعلياً؛ أو إضافة محور ثباتٍ سطحي إليها (يُطلق K2)
S33,ML-Bench&Guard: 56K حالة من 17 تنظيماً إقليمياً في 14 دولة، 14 لغة منها العربية والفرنسية وفرنسية كندا، بلا ترجمة آلية؛ ML-Guard dLLM؛ FPR ‏0.19 على الاستعلامات المحسّنة؛ «التكرار المستقل غير متاح بعد»,ML-Bench&Guard — arXiv:2605.00689v1,https://arxiv.org/abs/2605.00689,2026-05-01,مسند أولياً (preprint),أقرب فنٍّ سابق؛ لا علاقة بالمؤلفين؛ التكرار المستقل غير متاح,أي تكرارٍ مستقل منشور؛ أو إضافة محور اقترانٍ داخل البند مع شهادة تحويلة (يُطلق K2)
S34,تقييم ALLaM 34B على HUMAIN Chat: تبديل لغوي 4.92 · لهجة 4.21 · فصحى 4.74 · سلامة 4.54 · حقن/اختراق/تسريب 4.20 — مع أمثلة Arabizi,UI-Level Evaluation of ALLaM 34B — arXiv:2508.17378,https://arxiv.org/abs/2508.17378,2025-08,مسند أولياً (ورقة تقييم منتج),ورقةُ مُشغّل منتج ⇒ سابقةُ مشتري، لا مرجعٌ منهجي محايد,أي منشورٍ يُظهر أنّ المشغّل صار يقيس اقتراناً داخل البند بنفسه (يسقط سبب الشراء)
S35,"XSafety «All Languages Matter»: 2,800 بنداً أساساً × 10 لغات = 28,000 حالة موسومة، منها الفرنسية والعربية؛ فجوة مقيسة: فرنسية 10.0% آلي/6.6% بشري مقابل إنكليزية 2.0%/2.3%",XSafety — ACL 2024 Findings,https://aclanthology.org/2024.findings-acl.349/,2024 (ACL Findings),مسند أولياً (ورقة محكّمة) — المنشأ متنازَع عليه,ترجمة بشرية محترفة بحسب الورقة، وIndicSafe يصفها MT-based [S45] ⇒ المنشأ 🟡,حسم المنشأ (بشرية أم آلية)؛ وأي قياسٍ يعتمد الفجوة عبر اللغات وحدها
S36,"SORRY-Bench: 450 بنداً غير آمن × 45 صنفاً + 20 طفرة لغوية على البنود نفسها = 9,500؛ اللغات إنكليزية·فرنسية·صينية·ماراثية·تاميلية·مالايالامية (بلا عربية)؛ MIT؛ وmeta-evaluation للحكّام على 7K+ وسم بشري ⇒ 7B مضبوطة ≈ GPT-4",SORRY-Bench — arXiv:2406.14598 (Xie et al.),https://arxiv.org/abs/2406.14598,2024-06,مسند أولياً (ورقة + بيانات + كود مفتوح),أقرب سابقة للاقتران داخل البند؛ لا علاقة بالمؤلفين,إضافة عربية أو شهادة بطلان للتحويلة (يُطلق K2)؛ أو قياسٌ يفصل تصميم الحكّم عن حجمه (K5)
S37,OR-Bench: 80K بند مباح لقياس الرفض الكاذب — إنكليزية فقط، فلا تغطية عربية/فرنسية للرفض الكاذب المقترن,OR-Bench — arXiv:2405.20947,https://arxiv.org/abs/2405.20947,2024-05,مسند أولياً (preprint),لا علاقة بالمؤلفين؛ النطاق إنكليزي,أي إصدارٍ متعدد اللغات من OR-Bench يقلّص فجوة الرفض الكاذب
