id,hypothesis_ar,counterparty,binding_gate,gate_state,decision,max_level,key_claim,key_test,shared_dependency
H70,ترتيبُ الاختبار الأوّل للقنوات الخمس مُعادٌ إنتاجُه من السجلّ: CH1 ثم CH2 ثم CH3 ثم CH5 ثم CH4 (الدخولُ ثم التذكرةُ الدنيا ثم الأبجدية),منهجُنا (الحَكَمُ: results.channels_ranked على القرص),قابليةُ الترتيب لإعادة الإنتاج,مُنجَزة: الترتيبُ محسوبٌ حتمياً من المُدخَلات المُسنَدة والتعادلُ مكسورٌ أبجدياً بلا رأي,اعتمادُ الترتيب أساسَ T71–T72؛ وأيُّ تغييرٍ في الشروط يُعاد به الحسابُ لا الكلام,E0,N1,T71,لا شيء — stdlib على القرص
H71,سؤالٌ مكتوبٌ واحد عبر القناة الموثّقة (استمارةُ Prime للمسار التطبيقي) عن المسكوت عنه الثلاثيّ (وسيلةُ الدفع والأهليةُ الجغرافية والرسم) مع سطرِ قدرةٍ واحد — والمخرَجُ ردٌّ مكتوبٌ أو صمتٌ موثَّق بعد 14 يوماً,فريقُ برنامج البيئات (Prime Intellect) عبر استمارته الموثّقة,القبول,معلّقة على التنفيذ: التصميمُ مُنجَزٌ على القرص (T71) والتنفيذُ بيد المالك وحده (لا اعتمادَ لدى الباحث) والنافذةُ 14 يوماً,E1: إرسالٌ واحد صفرُ إنفاق — ⛔ بلا بناءِ بيئةٍ وبلا ادّعاءِ قدرةٍ وبلا عقد,E1,N2,T71,بريدُ المالك وقرارُه
H72,سؤالُ DataVendor المماثل (رسمُ الـtasksets ومددُ التسوية وشروطُ غيرِ المقيم) — مُصمَّمٌ الآن ومُتسلسِلٌ بعد نافذة T71 (سؤالٌ واحد لكلّ نافذةٍ فلا تختلط الاستجابات),فريقُ السوق (DataVendor/HUD) عبر قناته الموثّقة,القبول,مُنجَزة تصميماً: النصُّ والأسئلةُ ومعيارُ الخروج على القرص (T72) — والتنفيذُ مُتسلسِلٌ لا موازٍ,تجميدُ التنفيذ حتى إغلاق T71 ردّاً أو صمتاً,E0,N3,T72,إغلاقُ T71
H73,طلبُ مكافأةٍ تطبيقيٍّ (CH2) جاهزٌ للإرسال ومُحجَزٌ على ردّ T71 — فالتقديمُ بلا معرفةِ سكّةِ الدفع مقامرةٌ لا اختباراً,فريقُ برنامج البيئات عبر استمارة التقديم الموثّقة,القبول,مُنجَزة: المسودّةُ ومعيارُ الإرسال على القرص (T73) — والإرسالُ مشروطٌ بردٍّ يُعلِن السكّة,لا إرسالَ قبل ردِّ T71 يُعلِن السكّةَ والأهلية,E0,N3,T73,ردُّ T71
H74,مسحُ الدفعة لم يعثر على عقدِ تدقيقِ reward-hacking خارجيٍّ مستقلٍّ مُسوّى — فـNOT FOUND (D-267 §1) تبقى بتاريخ 2026-09-15 والمراسي الستُّ أسعارُ بائعين لا عقوداً,السوقُ المعلَن (صفحاتُ البائعين S137–S138),وجودُ سابقةِ دفع,مُنجَزة: المسحُ موثّقٌ بستِّ مراسٍ ودرجاتِها والنفيُ مؤرَّخٌ لا مطلق — فأوّلُ عقدٍ موثّقٍ يُسقطه,تُوسَم كلُّ مرساةٍ PRICING HYPOTHESIS أبداً حتى عقدٍ مُسوّى,E0,N4,T74,لا شيء
H75,تصحيحُ التسمية: prime-environments اسمٌ ميّت منذ 2026-03-29 (الالتزام #518 في community-environments) — وكلُّ استعمالٍ له خارجَ سياقِ البطلان بوّابةٌ حمراء,منهجُنا (الحَكَمُ: بوّابةُ التسمية على النصوص الأربعة),سلامةُ المرجع,مُنجَزة: الواقعةُ من مصدرٍ أوّل (S129) والمنعُ في البوّابة لا في التوثيق وحده,تُصحَّح أيُّ إحالةٍ قديمةٍ في نفس لحظة اكتشافها,E0,N5,T75,لا شيء
H76,منعُ نقل الرسم: 80/20 للـcodebases (S132) لا يُسعِّر tasksets أبداً — والمنعُ في الكود (apply_fee يرفع FeeScheduleMissingError) لا في النثر,منهجُنا (الحَكَمُ: مسبارُ 1000$ على القرص),سلامةُ الصافي,مُنجَزة: القاعدةُ مُنفَّذةٌ ومُختبَرةٌ بكسرٍ مُثبَت — والمسبارُ يُخرِج صافياً واحداً قابلاً للاقتباس (CH5 بقيمة 800.00) وأربعةَ None بأسباب,أيُّ صافي tasksets يُحسَب من 80/20 انتهاكٌ يُفشِل البوّابة,E0,N6,T76,لا شيء
H77,الاقترانُ بالإطار: بيئاتُ Prime تُبنَى على verifiers حصراً (vf.Environment وvf.Rubric — S128) — ونواتُنا تبقى Framework-Agnostic (D-290 L4) فمصنوعُ المكافأة مُحوِّلٌ (adapter) لا نواة,منهجُنا (الحَكَمُ: S128 + حدُّ naas_verifier),استقلالُ النواة,مُنجَزة: التوترُ مُسجَّلٌ والحلُّ معماريٌّ (adapter) — فلا استيرادَ لإطارٍ في القلب,يُبنَى أيُّ مصنوعِ مكافأةٍ خارجَ القلب ويموتُ مع القناة,E0,N7,T73,حدُّ D-187
H78,كاشفُ Reward Hacking لدى HUD (S133) واقعةُ جوارٍ تنافسية: عرضُ التدقيق المستقل يفترق بكونه مستقلاً وقائماً بذاته — والفرضيةُ تحتاج سؤالَ مشترٍ (T72) لا حُجّة,مشترٍ محتمل (يُسأَل في T72),القبول,مُنجَزة صياغةً: الفرضيةُ وبروتوكولُ دحضها على القرص — والدحضُ بسؤالٍ لا يزال معلّقاً,لا يُقدَّم الافتراقُ في أيّ عرضٍ قبل ردِّ T72,E0,N8,T72,ردُّ T72
H79,سقفُ FIV: صفرُ إنفاقٍ معلومٍ و5 أيامِ جهدٍ كحدٍّ أقصى لكلّ اختبارِ قناةٍ غيرِ مُبرهَنة — والتجاوزُ قتلٌ لا تمديد,منهجُنا (الحَكَمُ: inputs.policy + سجلُّ الجهد في البطاقات),انضباطُ الخسارة,جزئية: السقفُ مُعلَنٌ ومُثبَّتٌ في المُدخَلات و⛔ لم يُراقَب على اختبارٍ حقيقيٍّ بعد — فأوّلُ تجاوزٍ يُسجَّل خرقاً,يُمسَك سجلُّ جهدٍ من اليوم الأوّل لأيّ تنفيذ,E0,N2,T71,سجلُّ جهدٍ يُمسَك عند التنفيذ
