id,hypothesis_ar,counterparty,binding_gate,gate_state,decision,max_level,key_claim,key_test,shared_dependency
H50,مطابقةُ مواصفة المُقيِّم المنفَّذة للمُنشرة: فحصٌ يُثبت أنّ منطقَ التصحيح الذي يُحسِّن ضدّه الوكيل هو المنطقُ المُنفَّذ فعلاً (لا شرطٌ شبحي),مالكُ تقييمِ وكلاء في مؤسسةٍ تنشر تقييماً داخلياً أو تُقيِّم مورّداً (مختبرُ نماذج · فريقُ ضمانِ جودة AI · مُقيِّمٌ خارجي),القبول + القابلية للتسليم,"معلّقة على دليل لازم: صفرُ مقابلة، وصفرُ مواصفةِ قبولٍ مكتوبة؛ والأثرُ مُسندٌ بحادثٍ أوّل (0/17,613 إجراءً من الكسب) لا بطلبٍ مُسند",E1: عرضُ صفحةِ نطاقٍ واحدة + سؤالُ قبولٍ مكتوب على مشترٍ واحد، بلا تنفيذٍ على أيّ تقييمٍ حيّ,E1,C47,T45,قناةُ فوترة + اتفاقُ سرّية
H51,تدقيقُ قابليةِ حلّ مهامّ التقييم: حصرُ المهامّ التي لا يملك أيُّ نموذجٍ لها حلاً، قبل أن تُنتج سلوكاً تعويضياً,فريقُ تقييمٍ لدى مزوّد نموذج، أو جهةٌ تُشغّل ExploitGym-like داخلياً,التبديل (المنافسة مع الصانع),معلّقة مشروطة: الطلبُ مُسندٌ بحادثٍ أوّل (198/898 ⇒ 93%)، **لكنّ الصانع أعلن أنّه يبني الحلّ داخلياً** (graders تكافئ اكتشافَ المهمة المكسورة وطلبَ التوضيح والتوقّف الآمن) ⇒ خطرُ استيعابٍ عالٍ على المختبرات، ومتبقٍّ على المؤسسات غير المُختبرية,E1: خمسُ مقابلاتٍ مع **غير المختبرات** (مؤسساتٌ تنشر وكلاء بتقييمٍ داخلي)، وسؤالٌ واحد: هل تعرفون كم مهمةً عندكم بلا حل؟,E1,C48,T46,قرارُ حوكمةٍ إن صار خطّاً ثامناً (L6)
H52,قياسُ كمون القرار: فصلُ DETECTION عن CORRELATION عن DECISION عن AUTHORITY في سجلّ استجابة المؤسسة، وإخراجُ طبقةٍ مُلزِمةٍ واحدة بحسابٍ لا برأي,مسؤولُ استجابةٍ للحوادث / مديرُ منصّة وكلاء في مؤسسةٍ منظَّمة,القبول,معلّقة على دليل لازم: الظاهرةُ مُثبتةٌ في طرفَين أوّليين مستقلّين (المُشغِّل 59 يوماً تنظيمياً مقابل 10 تقنية · الضحية أعلنت فشلَ الخطورة والتصعيد بلا تاريخ)، وصفرُ مقابلةٍ على النصّ,E1: ملءُ نموذجِ التقرير ببياناتٍ كنارية من الحادثَين المنشورين وعرضُه على مشترٍ واحد — ⛔ بلا وصولٍ إلى سجلّات أيّ عميل,E1,C49,T47,اتفاقُ سرّية + مصرفٌ مراسل
H53,دليلُ سلامةِ المحضر خارجَ النطاق: خصمٌ محسوبٌ على أيّ اطمئنانٍ مشتقٍّ من سجلٍّ يستطيع المراقَبُ تعديلَه,مدقّقٌ خارجي أو فريقُ مخاطرٍ يقبل أدلّةَ تشغيل الوكلاء,قابليةُ القياس عندنا,غير مفحوصة: الخصمُ محسوبٌ من رقمٍ مستقل (7% من METR) لكنّ أداتَنا لم تُشغَّل على محضرٍ واحد؛ `model_runs_executed = 0`,E0: تصميمُ بطاقة اختبارٍ مشروطةٍ بإذنٍ وسقفِ خسارة مكتوب؛ ⛔ لا تنفيذ,E0,C50,T48,سقفُ خسارة + إذنُ تشغيل
H54,حزمةُ استجابةٍ جنائية محلية بلا رفض: قدرةُ تحليلٍ على بنية العميل لا ترفض الحمولة الحقيقية (الحادثة: Claude Opus وFable رفضا، وشُغِّل GLM-5.2-NVFP4 محلياً),فريقُ استجابةٍ للحوادث في مؤسسةٍ تنشر وكلاء، أو مُشغّلُ منصّة بيانات,التبديل + المشروعية,معلّقة: الظاهرةُ مُقاسةٌ عند الضحية (⛔ ليست عندنا)، والبديلُ المفتوح قائمٌ ومجّاني ⇒ الفارقُ غيرُ مُختبَر عند مشتري؛ والتعاملُ مع حمولات مهاجمٍ حقيقية يثير قيدَ مشروعيةٍ لم يُفحص,E1: سؤالُ تفضيلٍ واحدٍ مكتوب (مستضافٌ يرفض مقابل محليّ لا يرفض) على مشترٍ واحد؛ وجوابٌ قانوني واحد عن قيد التعامل مع الحمولة,E1,C51,T49,محامٍ + بديلٌ مفتوح مجّاني
H55,تأمينُ الوكلاء المستقلين كفرصةٍ مركزية — **وهي الفرضية المركزية للمدخل المفحوص**,وكيلُ تأمين / حاملُ وثيقة,الشراء (وجودُ خسارةٍ من النوع الذي يُؤمَّن),فاشلةٌ في التكوين الحالي: الضررُ المؤكَّد كلُّه على أصولٍ داخلية للطرفين، و`third_party_protected_asset_affected = False` من نصَّي الطرفين الأوّلين؛ و8 من 11 ضابطاً صمدت (0.7273)؛ وكلُّ نداءٍ مُعدِّل رُفض أو صدر DryRun,إعادةُ تعريف: وحدةُ البيع المقبولة بالدليل هي **خفضُ كلفة الاستجابة** (13 بنداً موثّقاً)، لا تعويضُ الخسارة — والمشتري CFO/CISO لا وكيلُ تأمين,E0,C52,T50,⛔ لا شيء — المانعُ في تعريف الخسارة لا في الموارد
H56,Daybreak / Trusted Access for Cyber كمسارِ إيرادٍ بالعملة الصعبة — **المسار د في المدخل المفحوص**,OpenAI (مانحُ الأرصدة),المشروعيةُ والتحصيل,"فاشلةٌ في التكوين الحالي: حدودُ البرنامج تمنع نصّاً «resale, proxying, or downstream third-party access» والعملَ الموجَّه للعميل؛ والأهليةُ تبدأ بالولايات المتحدة و«دولٍ شريكة» وموقعُ الجزائر غيرُ مُسند؛ والوصولُ سُحب من باحثين «بسبب مشكلةٍ تقنية» ⇒ تبعيةٌ قابلةٌ للسحب بلا سبب",استبعادٌ كمسارِ إيراد؛ يُحفظ **كبند دعمِ تكاليف** مشروطٍ بأهليةٍ جغرافيةٍ مُسندة، وبألا يُبنى عليه أيُّ التزام تسليم,E0,C53,T51,أهليةٌ جغرافية + شرطُ عدم إعادة البيع
H57,صيدُ ثغرات ناقلات الوكلاء (حقنُ قوالب · SSRF عبر وكيل · تسميمُ خطوط بيانات) — **المسار أ في المدخل المفحوص**,برامجُ مكافآت مُصرَّح بها,المشروعيةُ والأخلاق (بوابةٌ غير تعويضية),معلّقة على دليل لازم: ⛔ لم يُفحص أيُّ نطاقِ برنامج، ولا أهليةُ تقديمٍ من الجزائر، ولا مسارُ تحصيل المكافأة بالعملة الصعبة؛ وإعادةُ إنتاج نواقل الحادثة **ممنوعة** لأنّ اليوم-صفر مُرقَّع (Artifactory 7.161) ولأنّ الناقلَين الآخرين على بنية طرفٍ ثالث,E0: جردُ ثلاثةِ برامج مكافآت بنطاقها المكتوب وأهليتها الجغرافية ومسارِ دفعها — ⛔ بلا تسجيلٍ وبلا إرسالِ أيّ حمولة,E0,C54,T52,أهليةُ برنامج + مسارُ دفع
H58,أداةُ الجولة (DLY) تُطبَّق على **المدخل الوارد** لا على مخرجاتنا فقط — امتدادٌ لـH48 في الجولة 03,منهجُنا لا طرفٌ خارجي (الحَكَمُ: `results.adjudication_cases` على القرص),وثيقةُ الحالة + `adjudication_cases`,مُنجَزةٌ جزئياً: 6 ادّعاءاتٍ مُحكَمة على محورَين؛ 5 ممنوعةُ الاقتباس كما وردت، و1 مقبولٌ بتصحيحٍ واحد؛ واكتُشف **عيبٌ في أداة الجولة 03** بتطبيقها (H59),E1: نلتزم بقاعدةِ كتابةٍ (كلُّ رقمٍ وارد يُحكَم قبل استعماله، والتاريخُ الغائب يُقرأ `None` لا طازجاً) وبالبطاقة T53,E1,C55,T53,لا شيء — stdlibٌ واختبارٌ على القرص
H59,دبوسُ AHW (`ReportPin`) محكومُ المجال: صُمّم لدرجةٍ معيارية، وتطبيقُه على واقعةٍ تاريخية أو توقّع سوق يُنتج `UNPINNED` كاذباً — عيبٌ اكتُشف بالاستعمال لا بالمراجعة,أداتُنا (الحَكَمُ: `pin_axis_applies` على القرص),قابليةُ الأداة للحمل على مجالها,مُنجَزةٌ جزئياً: العيبُ مُوثَّق، والحلُّ المؤقت مُعلَن (`claim_kind` + `pin_axis_applies` + قاعدةُ العمر ≤90 يوماً بديلاً حين لا ينطبق المحور)، **لكنّ الإصلاحَ الجذري في `assurance_window.py` لم يُنفَّذ** (L10 إضافةٌ لا استبدال ⇒ يحتاج ADR),E1: ADR يقترح `claim_kind` حقلاً في `ReportPin` نفسها، ويُعرض على صاحب القرار؛ ⛔ لا تعديلٌ على AHW في هذه الجولة,E1,C56,T54,ADR + قرارٌ في `.memory/decisions.md`
