id,hypothesis_ar,counterparty,binding_gate,gate_state,decision,max_level,key_claim,key_test,shared_dependency
H1,بيانات لغوية عربية,مطورو نماذج AI ومجمعات بيانات,التبديل,معلقة,E1: اختبار جودة وحقوق مع مشتري واحد,E1,C04,T03,منصة/حقوق + مستجد
H2,دبلجة وصوت عربي,استوديوهات ومنصات MENA,التبديل,فاشلة في التكوين الحالي: المورد القائم راسخ,تأجيل: لا تفويض وصول إضافي,E0,C13,T06,علاقة مشتري
H3,مصانع برمجيات فرنكوفونية,مدير توريد في شركات أوروبية متوسطة,المشروعية والتحصيل + القبول,معلقة,E1: RFI مالي وقانوني + مرجع واحد,E1,C01 C02,T01 T02,بنك مراسل + عقد أمان
H4,حافز تصوير صحراوي,منتج تنفيذي دولي,الشراء (عبر مانع سياسة عمومية),فاشلة في التكوين الحالي: لا آلية استرداد قائمة,E0: مقترح سياسة لا معاملة,E0,C14,T07,قرار دولة (مشترك مع H11/H13/H18/H25)
H5,وسم صناعي B2B,موردو Tier-1 ومصانع أوروبية,القبول,معلقة,E1: تقييم تفاوضي بمواصفة مكتوبة,E1,C05,T03,مواصفة مشتري + بنك
H6,مركز دعم ثلاثي اللغة,مدير CX في شركات اشتراك أوروبية,القبول (نقل بيانات شخصية),معلقة مشروطة,E1: دراسة SCCs وتكلفة,E1,C06,T04,GDPR/SCC + بنك
H7,تمور ومشتقات فاخرة,موزعون وعلامات فاخرة,التبديل,معلقة,E1: تفاوض مع موزعين,E1,C07,T05,سلسلة توريد قائمة
H8,تصدير صحي للساحل,وزارات وشراء إقليمي,الاقتصاديات والسيولة (من يدفع وبأي عملة),فاشلة في التكوين الحالي: لا طريق عملة صعبة مسند,استبعاد مؤقت: إعادة فتح عند مسند نقدي,E0,C08,T08,دولة + عملة محلية
H9,تصدير تعليم هندسي,جامعات وشركات في الساحل,الشراء,فاشلة في التكوين الحالي: ميزانية مدفوعة غير مثبتة,استبعاد مؤقت,E0,C08,T08,دولة + عملة محلية
H10,منصة تصدير الجالية,أفراد ومتاجر في فرنسا,التبديل (قناة الصرف),معلقة,E1: قياس رغبة التحويل بشروط معلنة,E1,C09,T09,سوق صرف + بنك
H11,DesertGrid حوسبة صحراوية,أعباء متسامحة زمنياً (تدريب/رندر/نسخ),التنفيذ والتسليم (طاقة بتعرفة غير تفاوضية),فاشلة في التكوين الحالي للتوسع; معلقة للتجربة,تعليق: اختباران رخيصان قبل أي التزام,E1,C10 C11,T02 T11,تعرفة + تصدير + اتصالات
H12,سحابة إفريقية سيادية,حكومات وشركات إفريقية,القبول (قوانين localization),معلقة,E0: جرد قوانين قبل أي تصميم,E0,C15,T10,سياسة خارجية
H13,أمونيا زرقاء معتمدة,متداولون وموردو أسمدة أوروبيون,الإضافية الخارجية,معلقة (لا يُملك سندها),E0: رصد مسار FID بلا التزام,E0,C16,T12,مشغل أصل دولة
H14,حديد أخضر HBI,متداولو فولاد أوروبيون,القبول (خصائص الخام),معلقة,E0:طلب بيانات المعالجة المعدنية,E0,C17,T13,مشغل أصل دولة + طاقة
H15,مجمع فوسفاط كامل,أسواق أسمدة,الإضافية,فاشلة في التكوين الحالي للفرضية: الأصل قائم بيد الدولة,استبعاد من عهدة المؤسس; تحويل إلى رصد,E0,C18,-,أصل دولة
H16,ميثانول أخضر وتنكيت,متداولو وقود بحري,الاقتصاديات والسيولة,معلقة,E0,لا ادعاء مقفل,T12,-,
H17,مضاعفة الهيليوم,موردو غازات صناعية,الشراء (من يملك الأصل),مجهولة الأساس: حالة خط Arzew غير مسندة,تعليق: إثبات ملكية وطاقات قائمة,E0,C19,T14,أصل دولة
H18,كهرباء للساحل,مرافق وطنية إفريقية,الشراء,فاشلة في التكوين الحالي: ليست معاملة طرف خاص,تحويل إلى سياسة عامة,E0,لا ادعاء مقفل,-,دولة
H19,أدوية وأمصال لإفريقيا,وكالات شراء ومنح تمويل,القبول (تأهيل تنظيمي),معلقة طويل الأمد,استبعاد من جولة الالتزام; مسار تراخيص مستقل,E0,C20,T15,مرجع تنظيمي
H20,مدى اختبار مناخ حار,مصنعو معدات ومطورو بطاريات,الشراء (عقد حجز أول),معلقة,E1: RFI بعقد حجز أول,E1,C21,T16,أرض + طاقة
H21,سياحة عالية القيمة,منظمو رحلات ومشترون مباشران,التبديل,معلقة,E0: تجربة تسويقية دون عقد,E0,-,T17,-
H22,زجاج وسيليكا تصديري,موردو واجهات ومعمار,الاقتصاديات والسيولة,معلقة,E0: فارق تعادل طاقة,E0,C22,T18,طاقة
H23,هيدروجين أخضر SoutH2,موردو طاقة أوروبيون,الشراء,فاشلة في التكوين الحالي: لا إنتاج جزائري مسند 2026,استبعاد من عهدة المؤسس; رصد,E0,C23,T19,اتفاق وزراء
